NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Tipo de esgotamento sanitário (Código);Tipo de esgotamento sanitário;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2300507;Alcântaras - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;36
6;Município;2300507;Alcântaras - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;2645
6;Município;2300507;Alcântaras - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;62
6;Município;2300507;Alcântaras - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;4
6;Município;2300507;Alcântaras - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;51
6;Município;2300507;Alcântaras - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;147
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;2485
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;404
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;11
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;395
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;1636
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;2
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;-
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;28
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;9
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;4972
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;850
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;326
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;2611
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;541
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;343
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;69
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;224
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;8
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;13230
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;900
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;147
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;1798
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;9220
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;467
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;19
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;270
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;409
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;2594
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;1168
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;64
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;261
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;965
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;66
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;5
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;20
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;45
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;4548
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;413
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;83
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;599
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;3225
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;106
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;33
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;77
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;12
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;27749
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;2926
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;1202
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;11300
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;11799
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;248
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;19
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;188
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;67
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;26020
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;6539
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;354
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;6567
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;11797
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;109
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;14
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;362
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;278
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;8711
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;612
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;44
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;1126
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;5893
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;432
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;139
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;431
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;34
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;3960
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;18
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;2
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;12
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;3716
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;72
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;-
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;39
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;101
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;6746
