NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Destino do lixo (Código);Destino do lixo;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2300606;Altaneira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;2
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;4972
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;3234
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;220
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1467
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;9
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;31
6;Município;2300705;Alto Santo - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;11
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;13230
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;2186
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;4306
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;5468
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;782
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;465
6;Município;2300754;Amontada - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;23
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;2594
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;524
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;1648
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;379
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;2
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;41
6;Município;2300804;Antonina do Norte - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;-
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;4548
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;1892
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;1420
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1198
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;7
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;31
6;Município;2300903;Apuiarés - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;-
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;27749
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;22246
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;2792
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1911
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;129
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;565
6;Município;2301000;Aquiraz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;106
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;26020
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;22189
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;836
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;2544
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;196
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;177
6;Município;2301109;Aracati - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;78
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;8711
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;4993
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;2593
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;978
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;13
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;127
6;Município;2301208;Aracoiaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;7
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;3960
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;1742
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;571
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1564
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;9
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;63
6;Município;2301257;Ararendá - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;11
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;6746
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;4218
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;95
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;2263
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;16
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;115
6;Município;2301307;Araripe - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;39
6;Município;2301406;Aratuba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;3579
6;Município;2301406;Aratuba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;1237
6;Município;2301406;Aratuba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;1076
6;Município;2301406;Aratuba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1131
6;Município;2301406;Aratuba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;48
6;Município;2301406;Aratuba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;80
6;Município;2301406;Aratuba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;7
6;Município;2301505;Arneiroz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;2599
6;Município;2301505;Arneiroz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;879
6;Município;2301505;Arneiroz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;776
6;Município;2301505;Arneiroz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;906
6;Município;2301505;Arneiroz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;1
6;Município;2301505;Arneiroz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;33
6;Município;2301505;Arneiroz - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;4
6;Município;2301604;Assaré - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;7745
6;Município;2301604;Assaré - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;4045
6;Município;2301604;Assaré - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;1319
6;Município;2301604;Assaré - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;2166
6;Município;2301604;Assaré - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;11
6;Município;2301604;Assaré - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;172
6;Município;2301604;Assaré - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;32
6;Município;2301703;Aurora - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;8422
6;Município;2301703;Aurora - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;1869
6;Município;2301703;Aurora - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;3041
6;Município;2301703;Aurora - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;3364
6;Município;2301703;Aurora - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;13
6;Município;2301703;Aurora - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;126
6;Município;2301703;Aurora - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;9
6;Município;2301802;Baixio - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;2011
6;Município;2301802;Baixio - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;837
6;Município;2301802;Baixio - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;528
6;Município;2301802;Baixio - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;628
6;Município;2301802;Baixio - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;1
6;Município;2301802;Baixio - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;12
6;Município;2301802;Baixio - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;5
6;Município;2301851;Banabuiú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;5585
6;Município;2301851;Banabuiú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;3224
6;Município;2301851;Banabuiú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;42
6;Município;2301851;Banabuiú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;2214
6;Município;2301851;Banabuiú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;23
6;Município;2301851;Banabuiú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;73
6;Município;2301851;Banabuiú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;9
6;Município;2301901;Barbalha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;24142
6;Município;2301901;Barbalha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;20629
6;Município;2301901;Barbalha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;823
6;Município;2301901;Barbalha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;2460
6;Município;2301901;Barbalha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;36
6;Município;2301901;Barbalha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;162
6;Município;2301901;Barbalha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;32
6;Município;2301950;Barreira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;7572
6;Município;2301950;Barreira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;5195
6;Município;2301950;Barreira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;873
6;Município;2301950;Barreira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1376
6;Município;2301950;Barreira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;56
6;Município;2301950;Barreira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;68
6;Município;2301950;Barreira - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;4
6;Município;2302008;Barro - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;6946
6;Município;2302008;Barro - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;4673
6;Município;2302008;Barro - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;201
6;Município;2302008;Barro - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1984
6;Município;2302008;Barro - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;12
6;Município;2302008;Barro - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;47
6;Município;2302008;Barro - CE;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;29
6;Município;2302057;Barroquinha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;4755
6;Município;2302057;Barroquinha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;2804
6;Município;2302057;Barroquinha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;573
6;Município;2302057;Barroquinha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;1138
6;Município;2302057;Barroquinha - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;106
